track_name,release_year,year_distribution
I Remember Everything feat Kacey Musgraves,2023,"{2014: 0.004132231404958678, 2015: 0.0, 2016: 0.008264462809917356, 2017: 0.0, 2018: 0.0, 2019: 0.004132231404958678, 2020: 0.004132231404958678, 2021: 0.0, 2022: 0.0, 2023: 0.9793388429752066}"
I WANNA BE YOUR SLAVE,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.7033747779751333, 2022: 0.21314387211367672, 2023: 0.08348134991119005}"
IDGAF,2017,"{2014: 0.053109713487071976, 2015: 0.05660377358490566, 2016: 0.03424178895877009, 2017: 0.0, 2018: 0.2983927323549965, 2019: 0.21174004192872117, 2020: 0.1243885394828791, 2021: 0.07826694619147449, 2022: 0.0859538784067086, 2023: 0.0573025856044724}"
If I Cant Have You,2019,"{2014: 0.08691983122362869, 2015: 0.07932489451476793, 2016: 0.17215189873417722, 2017: 0.0008438818565400844, 2018: 0.0016877637130801688, 2019: 0.34852320675105486, 2020: 0.15105485232067511, 2021: 0.0759493670886076, 2022: 0.05485232067510549, 2023: 0.02869198312236287}"
If the World Was Ending feat Julia Michaels,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.05726141078838174, 2020: 0.5975103734439834, 2021: 0.16597510373443983, 2022: 0.1078838174273859, 2023: 0.07136929460580912}"
ily i love you baby feat Emilee,2019,"{2014: 0.10252365930599369, 2015: 0.09936908517350158, 2016: 0.09227129337539432, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.2590694006309148, 2021: 0.20070977917981073, 2022: 0.14668769716088328, 2023: 0.09936908517350158}"
Im Good Blue,2022,"{2014: 0.005415162454873646, 2015: 0.02707581227436823, 2016: 0.02707581227436823, 2017: 0.0036101083032490976, 2018: 0.01263537906137184, 2019: 0.005415162454873646, 2020: 0.0036101083032490976, 2021: 0.0036101083032490976, 2022: 0.4314079422382672, 2023: 0.48014440433212996}"
im so tired,2020,"{2014: 0.06625141562853908, 2015: 0.07361268403171008, 2016: 0.058323895809739526, 2017: 0.0, 2018: 0.0, 2019: 0.3873159682899207, 2020: 0.2044167610419026, 2021: 0.10985277463193659, 2022: 0.07021517553793885, 2023: 0.03001132502831257}"
Im Upset,2018,"{2014: 0.002506265664160401, 2015: 0.0, 2016: 0.002506265664160401, 2017: 0.0, 2018: 0.5989974937343359, 2019: 0.14786967418546365, 2020: 0.09523809523809523, 2021: 0.07518796992481203, 2022: 0.045112781954887216, 2023: 0.03258145363408521}"
In My Blood,2018,"{2014: 0.0, 2015: 0.0012738853503184713, 2016: 0.015286624203821656, 2017: 0.0, 2018: 0.5515923566878981, 2019: 0.2089171974522293, 2020: 0.09426751592356689, 2021: 0.061146496815286625, 2022: 0.03821656050955414, 2023: 0.02929936305732484}"
In My Feelings,2018,"{2014: 0.0015384615384615385, 2015: 0.018461538461538463, 2016: 0.015384615384615385, 2017: 0.0, 2018: 0.5276923076923077, 2019: 0.25384615384615383, 2020: 0.08923076923076922, 2021: 0.04153846153846154, 2022: 0.033846153846153845, 2023: 0.018461538461538463}"
In My Mind,2018,"{2014: 0.03670411985018727, 2015: 0.02696629213483146, 2016: 0.01947565543071161, 2017: 0.0, 2018: 0.2599250936329588, 2019: 0.3610486891385768, 2020: 0.12808988764044943, 2021: 0.07565543071161049, 2022: 0.058426966292134834, 2023: 0.033707865168539325}"
In The City,2023,"{2014: 0.08505747126436781, 2015: 0.05517241379310345, 2016: 0.06896551724137931, 2017: 0.10344827586206896, 2018: 0.06896551724137931, 2019: 0.06896551724137931, 2020: 0.029885057471264367, 2021: 0.06896551724137931, 2022: 0.013793103448275862, 2023: 0.4367816091954023}"
INDUSTRY BABY feat Jack Harlow,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.5178351783517835, 2022: 0.3960639606396064, 2023: 0.08610086100861009}"
Infinity,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0008257638315441783, 2018: 0.008257638315441783, 2019: 0.00990916597853014, 2020: 0.07431874483897605, 2021: 0.19735755573905864, 2022: 0.5730800990916598, 2023: 0.13625103220478943}"
Intentions feat Quavo,2020,"{2014: 0.02644836272040302, 2015: 0.028967254408060455, 2016: 0.02518891687657431, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.6574307304785895, 2021: 0.1070528967254408, 2022: 0.09319899244332494, 2023: 0.061712846347607056}"
Is It Over Now Taylors Version From The Vault,2023,"{2014: 0.16704805491990846, 2015: 0.034324942791762014, 2016: 0.12356979405034325, 2017: 0.14416475972540047, 2018: 0.0, 2019: 0.05034324942791762, 2020: 0.06407322654462243, 2021: 0.020594965675057208, 2022: 0.011441647597254004, 2023: 0.38443935926773454}"
iSpy feat Lil Yachty,2016,"{2014: 0.0035211267605633804, 2015: 0.0, 2016: 0.002347417840375587, 2017: 0.602112676056338, 2018: 0.1572769953051643, 2019: 0.10446009389671361, 2020: 0.062206572769953054, 2021: 0.03051643192488263, 2022: 0.023474178403755867, 2023: 0.014084507042253521}"
Issues,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.1268608414239482, 2018: 0.455663430420712, 2019: 0.16763754045307444, 2020: 0.0744336569579288, 2021: 0.06537216828478964, 2022: 0.06666666666666667, 2023: 0.04336569579288026}"
Its Not Living If Its Not With You,2018,"{2014: 0.0006743088334457181, 2015: 0.0006743088334457181, 2016: 0.0013486176668914363, 2017: 0.0006743088334457181, 2018: 0.15711395819285232, 2019: 0.25758597437626435, 2020: 0.14025623735670936, 2021: 0.10586648685097774, 2022: 0.17666891436277815, 2023: 0.15913688469318948}"
Jackie Chan,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.6677367576243981, 2019: 0.21669341894060995, 2020: 0.06581059390048154, 2021: 0.030497592295345103, 2022: 0.01765650080256822, 2023: 0.0016051364365971107}"
Jocelyn Flores,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.1724867724867725, 2018: 0.3925925925925926, 2019: 0.14603174603174604, 2020: 0.12380952380952381, 2021: 0.07301587301587302, 2022: 0.05925925925925926, 2023: 0.0328042328042328}"
Kill This Love,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.3568564554931836, 2020: 0.2574178027265437, 2021: 0.18364073777064957, 2022: 0.12028869286287089, 2023: 0.0817963111467522}"
Kings Dead with Kendrick Lamar Future  James Blake,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.631578947368421, 2019: 0.10855263157894737, 2020: 0.125, 2021: 0.054276315789473686, 2022: 0.046052631578947366, 2023: 0.03453947368421053}"
Kiss Me More feat SZA,2021,"{2014: 0.0016, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.6816, 2022: 0.2304, 2023: 0.0864}"
La Bachata,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.5206786850477201, 2023: 0.47932131495228}"
La Bebe - Remix,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
LA NOCHE DE ANOCHE,2020,"{2014: 0.035634743875278395, 2015: 0.04120267260579064, 2016: 0.02783964365256125, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.07461024498886415, 2021: 0.5289532293986637, 2022: 0.20155902004454343, 2023: 0.09020044543429843}"
Ladbroke Grove,2019,"{2014: 0.0037267080745341614, 2015: 0.002484472049689441, 2016: 0.0, 2017: 0.0012422360248447205, 2018: 0.0012422360248447205, 2019: 0.5565217391304348, 2020: 0.23229813664596274, 2021: 0.09937888198757763, 2022: 0.07453416149068323, 2023: 0.02857142857142857}"
LALA,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
late at night,2021,"{2014: 0.0031545741324921135, 2015: 0.0, 2016: 0.0015772870662460567, 2017: 0.0015772870662460567, 2018: 0.0, 2019: 0.0, 2020: 0.0015772870662460567, 2021: 0.49842271293375395, 2022: 0.3438485804416404, 2023: 0.1498422712933754}"
Late Night Talking,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.6997084548104956, 2023: 0.30029154518950435}"
Lay Low,2023,"{2014: 0.001277139208173691, 2015: 0.0, 2016: 0.0038314176245210726, 2017: 0.002554278416347382, 2018: 0.001277139208173691, 2019: 0.0038314176245210726, 2020: 0.002554278416347382, 2021: 0.0, 2022: 0.0, 2023: 0.9846743295019157}"
Leave a Light On,2017,"{2014: 0.0008460236886632825, 2015: 0.0, 2016: 0.0008460236886632825, 2017: 0.00042301184433164127, 2018: 0.0, 2019: 0.016074450084602367, 2020: 0.2736886632825719, 2021: 0.29653130287648055, 2022: 0.21658206429780033, 2023: 0.19500846023688664}"
Leave Before You Love Me with Jonas Brothers,2021,"{2014: 0.006151142355008787, 2015: 0.006151142355008787, 2016: 0.011423550087873463, 2017: 0.009666080843585237, 2018: 0.01054481546572935, 2019: 0.013181019332161687, 2020: 0.016695957820738138, 2021: 0.4947275922671353, 2022: 0.2759226713532513, 2023: 0.1555360281195079}"
Leave Me Alone,2019,"{2014: 0.08716875871687588, 2015: 0.09344490934449093, 2016: 0.07810320781032078, 2017: 0.0, 2018: 0.026499302649930265, 2019: 0.37447698744769875, 2020: 0.16108786610878661, 2021: 0.07880055788005579, 2022: 0.060669456066945605, 2023: 0.0397489539748954}"
Leave The Door Open,2021,"{2014: 0.0015564202334630351, 2015: 0.0031128404669260703, 2016: 0.0, 2017: 0.0, 2018: 0.0015564202334630351, 2019: 0.0, 2020: 0.0023346303501945525, 2021: 0.0007782101167315176, 2022: 0.2731517509727626, 2023: 0.7175097276264591}"
Lemonade,2020,"{2014: 0.01381509032943677, 2015: 0.015940488841657812, 2016: 0.04782146652497343, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.2454835281615303, 2021: 0.4070138150903294, 2022: 0.17003188097768332, 2023: 0.09989373007438895}"
Let Me Down Slowly,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.05133306804615997, 2019: 0.31993633107839237, 2020: 0.17230401910067647, 2021: 0.12972542777556706, 2022: 0.21448467966573817, 2023: 0.11221647433346597}"
Let Me Go with Alesso Florida Georgia Line  watt,2017,"{2014: 0.15053763440860216, 2015: 0.07084123972169513, 2016: 0.043010752688172046, 2017: 0.11891208096141682, 2018: 0.34471853257432006, 2019: 0.12586970271979758, 2020: 0.06514864010120178, 2021: 0.03731815306767868, 2022: 0.029728020240354206, 2023: 0.013915243516761544}"
Let You Down,2017,"{2014: 0.07552973342447027, 2015: 0.0710868079289132, 2016: 0.06425153793574846, 2017: 0.0003417634996582365, 2018: 0.0, 2019: 0.15550239234449761, 2020: 0.33116883116883117, 2021: 0.18010936431989064, 2022: 0.0898838004101162, 2023: 0.03212576896787423}"
Lets Fall in Love for the Night,2019,"{2014: 0.0021474588403722263, 2015: 0.0007158196134574087, 2016: 0.0, 2017: 0.0014316392269148174, 2018: 0.0021474588403722263, 2019: 0.0014316392269148174, 2020: 0.1796707229778096, 2021: 0.31639226914817464, 2022: 0.325697924123121, 2023: 0.17036506800286327}"
Levitating feat DaBaby,2020,"{2014: 0.02459016393442623, 2015: 0.020491803278688523, 2016: 0.030054644808743168, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.020491803278688523, 2021: 0.605191256830601, 2022: 0.20355191256830601, 2023: 0.09562841530054644}"
Liability,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.30610021786492375, 2018: 0.2429193899782135, 2019: 0.11220043572984749, 2020: 0.11002178649237472, 2021: 0.11056644880174292, 2022: 0.08496732026143791, 2023: 0.0332244008714597}"
Life Goes On,2021,"{2014: 0.0, 2015: 0.0007616146230007616, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0007616146230007616, 2021: 0.07311500380807312, 2022: 0.5795887281035796, 2023: 0.3457730388423458}"
Life Is Good feat Drake,2020,"{2014: 0.011461318051575931, 2015: 0.008595988538681949, 2016: 0.01002865329512894, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.5616045845272206, 2021: 0.1991404011461318, 2022: 0.12464183381088825, 2023: 0.08452722063037249}"
Little Dark Age,2018,"{2014: 0.0009624639076034649, 2015: 0.0, 2016: 0.00048123195380173246, 2017: 0.021174205967276226, 2018: 0.11549566891241578, 2019: 0.030798845043310877, 2020: 0.09961501443695861, 2021: 0.16987487969201154, 2022: 0.2757459095283927, 2023: 0.2858517805582291}"
Live For Me,2023,"{2014: 0.12682926829268293, 2015: 0.014634146341463415, 2016: 0.02926829268292683, 2017: 0.03414634146341464, 2018: 0.03902439024390244, 2019: 0.02926829268292683, 2020: 0.02926829268292683, 2021: 0.0, 2022: 0.02926829268292683, 2023: 0.6682926829268293}"
Lo Siento BB with Bad Bunny  Julieta Venegas,2021,"{2014: 0.002171552660152009, 2015: 0.0, 2016: 0.003257328990228013, 2017: 0.0010857763300760044, 2018: 0.0010857763300760044, 2019: 0.0010857763300760044, 2020: 0.0010857763300760044, 2021: 0.28121606948968514, 2022: 0.5635179153094463, 2023: 0.1454940282301846}"
Location,2017,"{2014: 0.0036883356385431073, 2015: 0.0036883356385431073, 2016: 0.05301982480405717, 2017: 0.4186260949746427, 2018: 0.22775472568003688, 2019: 0.11894882434301521, 2020: 0.06685108344859382, 2021: 0.045182111572153065, 2022: 0.03550023052097741, 2023: 0.026740433379437527}"
Location feat Burna Boy,2019,"{2014: 0.004911875180583647, 2015: 0.002889338341519792, 2016: 0.0023114706732158337, 2017: 0.0008668015024559376, 2018: 0.0005778676683039584, 2019: 0.036405663103149376, 2020: 0.27275353943946834, 2021: 0.28286622363478764, 2022: 0.24790522970239814, 2023: 0.1485119907541173}"
Lonely Together feat Rita Ora,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0009765625, 2017: 0.3515625, 2018: 0.40625, 2019: 0.1201171875, 2020: 0.0625, 2021: 0.029296875, 2022: 0.017578125, 2023: 0.01171875}"
Look Alive feat Drake,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.7805825242718447, 2019: 0.10485436893203884, 2020: 0.02524271844660194, 2021: 0.027184466019417475, 2022: 0.031067961165048542, 2023: 0.031067961165048542}"
Look Back at It,2018,"{2014: 0.04335260115606936, 2015: 0.0476878612716763, 2016: 0.028901734104046242, 2017: 0.0, 2018: 0.0072254335260115606, 2019: 0.5982658959537572, 2020: 0.12572254335260116, 2021: 0.05708092485549133, 2022: 0.046242774566473986, 2023: 0.04552023121387283}"
Look What You Made Me Do,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.4597315436241611, 2018: 0.21308724832214765, 2019: 0.11912751677852348, 2020: 0.07718120805369127, 2021: 0.053691275167785234, 2022: 0.03355704697986577, 2023: 0.0436241610738255}"
Lose Control,2023,"{2014: 0.18223583460949463, 2015: 0.0, 2016: 0.08116385911179173, 2017: 0.019908116385911178, 2018: 0.11179173047473201, 2019: 0.05053598774885146, 2020: 0.042879019908116385, 2021: 0.0, 2022: 0.0, 2023: 0.5114854517611026}"
Lose You To Love Me,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.22710163111668757, 2020: 0.45420326223337515, 2021: 0.1468005018820577, 2022: 0.09661229611041405, 2023: 0.07528230865746549}"
Losin Control,2017,"{2014: 0.0031847133757961785, 2015: 0.0031847133757961785, 2016: 0.0021231422505307855, 2017: 0.0, 2018: 0.3874734607218684, 2019: 0.028662420382165606, 2020: 0.15817409766454352, 2021: 0.1316348195329087, 2022: 0.15711252653927812, 2023: 0.12845010615711253}"
Lost Cause,2021,"{2014: 0.15311004784688995, 2015: 0.12679425837320574, 2016: 0.08851674641148326, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.3827751196172249, 2022: 0.14354066985645933, 2023: 0.10526315789473684}"
Lost in the Fire feat The Weeknd,2019,"{2014: 0.03890784982935153, 2015: 0.016382252559726963, 2016: 0.008873720136518772, 2017: 0.0006825938566552901, 2018: 0.0, 2019: 0.27918088737201363, 2020: 0.06689419795221843, 2021: 0.22525597269624573, 2022: 0.24573378839590443, 2023: 0.11808873720136519}"
Lost Without You,2019,"{2014: 0.005080440304826418, 2015: 0.0046570702794242165, 2016: 0.004233700254022015, 2017: 0.0, 2018: 0.04868755292125317, 2019: 0.32049110922946655, 2020: 0.22734970364098223, 2021: 0.163844199830652, 2022: 0.13463166807790009, 2023: 0.09102455546147332}"
LOVE FEAT ZACARI,2017,"{2014: 0.08962795941375423, 2015: 0.06144306651634724, 2016: 0.04509582863585118, 2017: 0.314543404735062, 2018: 0.23393461104847801, 2019: 0.07271702367531004, 2020: 0.05186020293122886, 2021: 0.03664036076662908, 2022: 0.052423900789177004, 2023: 0.04171364148816235}"
Love Galore feat Travis Scott,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.47702834799608995, 2018: 0.1935483870967742, 2019: 0.0801564027370479, 2020: 0.07820136852394917, 2021: 0.07917888563049853, 2022: 0.04985337243401759, 2023: 0.042033235581622676}"
Love Lies with Normani,2018,"{2014: 0.00933852140077821, 2015: 0.00933852140077821, 2016: 0.014007782101167316, 2017: 0.0, 2018: 0.5945525291828794, 2019: 0.20389105058365758, 2020: 0.0840466926070039, 2021: 0.0443579766536965, 2022: 0.025680933852140077, 2023: 0.014785992217898832}"
love nwantiti ah ah ah,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.021400778210116732, 2021: 0.5972762645914397, 2022: 0.33073929961089493, 2023: 0.05058365758754864}"
Love On The Brain,2016,"{2014: 0.0, 2015: 0.0003402517863218782, 2016: 0.159237835998639, 2017: 0.20789384144266757, 2018: 0.18203470568220484, 2019: 0.14800952705001702, 2020: 0.10717931269139162, 2021: 0.07519564477713508, 2022: 0.07553589656345695, 2023: 0.04457298400816604}"
Love Story Taylors Version,2021,"{2014: 0.17661516853932585, 2015: 0.16432584269662923, 2016: 0.08953651685393259, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.136938202247191, 2021: 0.12851123595505617, 2022: 0.2443820224719101, 2023: 0.059691011235955056}"
lovely with Khalid,2018,"{2014: 0.08534743202416918, 2015: 0.06671701913393756, 2016: 0.045568982880161125, 2017: 0.0, 2018: 0.08761329305135952, 2019: 0.23741188318227593, 2020: 0.22079556898288016, 2021: 0.1271399798590131, 2022: 0.09718026183282981, 2023: 0.032225579053373615}"
Lover,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.03321976149914821, 2020: 0.15076660988074958, 2021: 0.07410562180579217, 2022: 0.19165247018739354, 2023: 0.5502555366269165}"
Lovin On Me,2023,"{2014: 0.03305785123966942, 2015: 0.01652892561983471, 2016: 0.024793388429752067, 2017: 0.01652892561983471, 2018: 0.04132231404958678, 2019: 0.01652892561983471, 2020: 0.008264462809917356, 2021: 0.0, 2022: 0.01652892561983471, 2023: 0.8264462809917356}"
Low Tide,2023,"{2014: 0.09978308026030369, 2015: 0.0227765726681128, 2016: 0.12147505422993492, 2017: 0.10303687635574837, 2018: 0.06941431670281996, 2019: 0.019522776572668113, 2020: 0.08026030368763558, 2021: 0.12472885032537961, 2022: 0.07917570498915401, 2023: 0.279826464208243}"
Lucid Dreams,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.25932666060054593, 2020: 0.2875341219290264, 2021: 0.18016378525932666, 2022: 0.1565059144676979, 2023: 0.1164695177434031}"
Lust For Life with The Weeknd,2017,"{2014: 0.0, 2015: 0.0008628127696289905, 2016: 0.0012942191544434857, 2017: 0.06773080241587576, 2018: 0.31492666091458155, 2019: 0.1630716134598792, 2020: 0.09275237273511648, 2021: 0.07679033649698015, 2022: 0.10483175150992234, 2023: 0.17773943054357205}"
m y  l i f e with 21 Savage  Morray,2021,"{2014: 0.005291005291005291, 2015: 0.0013227513227513227, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.32142857142857145, 2022: 0.23148148148148148, 2023: 0.44047619047619047}"
Magnolia,2017,"{2014: 0.0028208744710860366, 2015: 0.005289139633286318, 2016: 0.0038787023977433005, 2017: 0.018335684062059238, 2018: 0.24753173483779972, 2019: 0.17207334273624825, 2020: 0.14456981664315938, 2021: 0.13540197461212977, 2022: 0.14456981664315938, 2023: 0.12552891396332863}"
Malibu,2017,"{2014: 0.014063656550703183, 2015: 0.008142116950407105, 2016: 0.011843079200592153, 2017: 0.0007401924500370096, 2018: 0.0007401924500370096, 2019: 0.25684678016284235, 2020: 0.3804589193190229, 2021: 0.13545521835677277, 2022: 0.16358253145817914, 2023: 0.028127313101406367}"
MAMIII,2022,"{2014: 0.0, 2015: 0.001098901098901099, 2016: 0.0, 2017: 0.0, 2018: 0.001098901098901099, 2019: 0.001098901098901099, 2020: 0.0, 2021: 0.002197802197802198, 2022: 0.756043956043956, 2023: 0.23846153846153847}"
Mask Off,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.01500182949140139, 2018: 0.23600439077936333, 2019: 0.10281741675814124, 2020: 0.10464690815953165, 2021: 0.24002927186242223, 2022: 0.16611781924624955, 2023: 0.13538236370289058}"
Me Niego feat Ozuna  Wisin,2019,"{2014: 0.008628127696289905, 2015: 0.003451251078515962, 2016: 0.009490940465918895, 2017: 0.014667817083692839, 2018: 0.5522001725625539, 2019: 0.18809318377911993, 2020: 0.09577221742881795, 2021: 0.056082830025884385, 2022: 0.04314063848144953, 2023: 0.028472821397756688}"
Me Porto Bonito,2022,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.8035398230088495, 2023: 0.19646017699115045}"
Meant to Be feat Florida Georgia Line,2017,"{2014: 0.026041666666666668, 2015: 0.025390625, 2016: 0.024088541666666668, 2017: 0.06575520833333333, 2018: 0.4700520833333333, 2019: 0.162109375, 2020: 0.083984375, 2021: 0.06510416666666667, 2022: 0.048828125, 2023: 0.028645833333333332}"
Meet Me At Our Spot,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.6121739130434782, 2022: 0.32, 2023: 0.06782608695652174}"
Memories,2021,"{2014: 0.03291139240506329, 2015: 0.031223628691983123, 2016: 0.02531645569620253, 2017: 0.0, 2018: 0.0, 2019: 0.19240506329113924, 2020: 0.3789029535864979, 2021: 0.13248945147679325, 2022: 0.12151898734177215, 2023: 0.08523206751054853}"
Mercy,2017,"{2014: 0.0, 2015: 0.0, 2016: 0.14882506527415143, 2017: 0.42297650130548303, 2018: 0.1784160139251523, 2019: 0.09225413402959094, 2020: 0.05308964316797215, 2021: 0.04264577893820714, 2022: 0.0391644908616188, 2023: 0.022628372497824196}"
Met Him Last Night feat Ariana Grande,2021,"{2014: 0.0, 2015: 0.003171247357293869, 2016: 0.013742071881606765, 2017: 0.004228329809725159, 2018: 0.0, 2019: 0.009513742071881607, 2020: 0.0, 2021: 0.5306553911205074, 2022: 0.30021141649048627, 2023: 0.13847780126849896}"
Mi Gente,2018,"{2014: 0.025330396475770924, 2015: 0.013215859030837005, 2016: 0.015418502202643172, 2017: 0.36123348017621143, 2018: 0.30947136563876654, 2019: 0.10242290748898679, 2020: 0.07378854625550661, 2021: 0.04185022026431718, 2022: 0.03303964757709251, 2023: 0.024229074889867842}"
MIA,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5634441087613293, 2020: 0.15861027190332327, 2021: 0.03172205438066465, 2022: 0.1299093655589124, 2023: 0.1163141993957704}"
MIDDLE CHILD,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.46859903381642515, 2020: 0.21618357487922704, 2021: 0.13526570048309178, 2022: 0.10265700483091787, 2023: 0.07729468599033816}"
MIDDLE OF THE NIGHT,2020,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.04873294346978557, 2022: 0.7173489278752436, 2023: 0.23391812865497075}"
Mine,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.47003994673768307, 2019: 0.303595206391478, 2020: 0.17177097203728361, 2021: 0.02663115845539281, 2022: 0.015978695073235686, 2023: 0.011984021304926764}"
Mo Bamba,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.25958702064896755, 2019: 0.4616519174041298, 2020: 0.08997050147492626, 2021: 0.045722713864306784, 2022: 0.07374631268436578, 2023: 0.06932153392330384}"
MONEY,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.38392857142857145, 2022: 0.43005952380952384, 2023: 0.18601190476190477}"
Money In The Grave Drake ft Rick Ross,2019,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.5582278481012658, 2020: 0.24556962025316456, 2021: 0.0949367088607595, 2022: 0.05569620253164557, 2023: 0.04556962025316456}"
MONTERO Call Me By Your Name,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.7053140096618358, 2022: 0.19001610305958133, 2023: 0.10466988727858294}"
Mood feat iann dior,2021,"{2014: 0.0, 2015: 0.006885998469778117, 2016: 0.00306044376434583, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.234123947972456, 2021: 0.3029839326702372, 2022: 0.29609793420045905, 2023: 0.1568477429227238}"
Moonlight,2018,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.3389335281227173, 2020: 0.26004382761139516, 2021: 0.11468224981738495, 2022: 0.15631848064280496, 2023: 0.13002191380569758}"
More Than You Know,2017,"{2014: 0.013750592697961118, 2015: 0.01422475106685633, 2016: 0.010431484115694643, 2017: 0.0, 2018: 0.29966808914177334, 2019: 0.2541488857278331, 2020: 0.14461830251303937, 2021: 0.10052157420578474, 2022: 0.09198672356567093, 2023: 0.07064959696538643}"
Moscow Mule,2022,"{2014: 0.0018050541516245488, 2015: 0.0, 2016: 0.0, 2017: 0.0018050541516245488, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.7274368231046932, 2023: 0.26895306859205775}"
Motivation,2019,"{2014: 0.0033444816053511705, 2015: 0.0033444816053511705, 2016: 0.0016722408026755853, 2017: 0.0, 2018: 0.0, 2019: 0.560200668896321, 2020: 0.2391304347826087, 2021: 0.10033444816053512, 2022: 0.05852842809364549, 2023: 0.033444816053511704}"
