track_name,release_year,year_distribution
Boys a liar Pt 2,2023,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.0, 2022: 0.0, 2023: 1.0}"
Break My Heart,2020,"{2014: 0.008991008991008992, 2015: 0.004995004995004995, 2016: 0.003996003996003996, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.48951048951048953, 2021: 0.21678321678321677, 2022: 0.14385614385614387, 2023: 0.13186813186813187}"
break up with your girlfriend im bored,2019,"{2014: 0.0, 2015: 0.005263157894736842, 2016: 0.0, 2017: 0.0, 2018: 0.005263157894736842, 2019: 0.9578947368421052, 2020: 0.031578947368421054, 2021: 0.0, 2022: 0.0, 2023: 0.0}"
Breaking Me,2019,"{2014: 0.10677382319173363, 2015: 0.09644087256027555, 2016: 0.09414466130884042, 2017: 0.08633754305396096, 2018: 0.08289322617680826, 2019: 0.08587830080367394, 2020: 0.1811710677382319, 2021: 0.09988518943742825, 2022: 0.09207807118254879, 2023: 0.07439724454649828}"
Bruises,2019,"{2014: 0.018691588785046728, 2015: 0.029906542056074768, 2016: 0.014953271028037384, 2017: 0.005607476635514018, 2018: 0.0024922118380062306, 2019: 0.03987538940809969, 2020: 0.3794392523364486, 2021: 0.23800623052959502, 2022: 0.14392523364485982, 2023: 0.12710280373831775}"
Build a Bitch,2021,"{2014: 0.0, 2015: 0.0, 2016: 0.0, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.7241379310344828, 2022: 0.1909814323607427, 2023: 0.08488063660477453}"
bury a friend,2019,"{2014: 0.0008543357539513029, 2015: 0.00042716787697565144, 2016: 0.0021358393848782574, 2017: 0.0021358393848782574, 2018: 0.0, 2019: 0.0008543357539513029, 2020: 0.19137120888509185, 2021: 0.3413071337035455, 2022: 0.28064929517300297, 2023: 0.1802648440837249}"
Butter,2021,"{2014: 0.07392363931762795, 2015: 0.10073111291632819, 2016: 0.07311129163281885, 2017: 0.0, 2018: 0.0, 2019: 0.0, 2020: 0.0, 2021: 0.38586515028432167, 2022: 0.2908204711616572, 2023: 0.07554833468724614}"
BUTTERFLY EFFECT,2018,"{2014: 0.0065065065065065065, 2015: 0.008008008008008008, 2016: 0.0035035035035035035, 2017: 0.055055055055055056, 2018: 0.2847847847847848, 2019: 0.2037037037037037, 2020: 0.1841841841841842, 2021: 0.10710710710710711, 2022: 0.08308308308308308, 2023: 0.06406406406406406}"
Call Out My Name,2018,"{2014: 0.0016366612111292963, 2015: 0.0016366612111292963, 2016: 0.0024549918166939444, 2017: 0.0, 2018: 0.34615384615384615, 2019: 0.16448445171849427, 2020: 0.1260229132569558, 2021: 0.08919803600654665, 2022: 0.1530278232405892, 2023: 0.11538461538461539}"
